_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
823,4.0,7,63,5.0,4.0,4.0,01/31/2019,4.0,4.0,4.0,3.0,,5.0,5.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154019,82.0,5.0,2730  YONGE ST ,5.0,3.0,08,4.0,1954.0,2017.0
824,4.0,3,11,,4.0,4.0,01/30/2019,4.0,3.0,3.0,4.0,,5.0,3.0,5.0,5.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154511,81.0,5.0,34  WASDALE CRES ,5.0,,08,4.0,1965.0,2017.0
825,3.0,4,24,3.0,3.0,3.0,03/18/2019,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154520,64.0,4.0,1  MARQUETTE AVE ,3.0,,08,3.0,1965.0,2017.0
826,3.0,7,48,4.0,4.0,4.0,03/14/2019,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154521,74.0,3.0,3638  BATHURST ST ,4.0,3.0,08,4.0,1958.0,2018.0
827,4.0,3,12,,4.0,4.0,03/05/2019,4.0,,3.0,4.0,,5.0,4.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154523,73.0,3.0,20  HOTSPUR RD ,3.0,,08,3.0,1956.0,2017.0
828,5.0,3,11,,4.0,5.0,02/05/2019,5.0,3.0,4.0,5.0,,5.0,4.0,4.0,4.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154531,86.0,4.0,84  NEPTUNE DR ,4.0,,08,4.0,1975.0,2017.0
829,4.0,15,171,4.0,4.0,5.0,02/01/2019,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,19,4.0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154534,74.0,4.0,125  NEPTUNE DR ,5.0,,08,3.0,1974.0,2017.0
830,3.0,4,60,3.0,3.0,3.0,10/16/2017,4.0,3.0,4.0,3.0,,5.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154890,66.0,3.0,55  ECCLESTON DR ,3.0,3.0,16,4.0,1960.0,2017.0
831,5.0,7,78,5.0,4.0,5.0,03/05/2019,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,19,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154909,95.0,5.0,67  PARKWOODS VILLAGE DR ,5.0,4.0,16,5.0,1962.0,2017.0
832,4.0,7,81,4.0,4.0,5.0,03/04/2019,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154911,85.0,5.0,111  COMBERMERE DR ,4.0,5.0,16,4.0,1963.0,2017.0
833,5.0,4,64,3.0,4.0,4.0,03/06/2019,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,20,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154915,78.0,5.0,1325  YORK MILLS RD ,4.0,4.0,16,4.0,1961.0,2017.0
834,4.0,7,153,4.0,4.0,3.0,03/21/2019,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155459,72.0,4.0,2548  KIPLING AVE ,3.0,3.0,01,4.0,1968.0,2017.0
835,,13,179,4.0,3.0,3.0,03/04/2019,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155465,69.0,4.0,10  HUMBERLINE DR ,2.0,,01,3.0,1984.0,2017.0
836,2.0,4,27,,3.0,3.0,03/25/2019,3.0,4.0,4.0,3.0,,5.0,3.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155827,64.0,3.0,2559  BLOOR ST W,3.0,,04,2.0,1944.0,2018.0
837,,3,31,,4.0,4.0,01/30/2019,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155829,71.0,5.0,2676  YONGE ST ,3.0,3.0,08,4.0,1940.0,2017.0
838,,3,16,,4.0,4.0,03/01/2019,4.0,3.0,4.0,4.0,,5.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155843,77.0,4.0,3214  ST CLAIR AVE E,3.0,,20,4.0,1952.0,2017.0
839,4.0,26,201,3.0,3.0,4.0,10/25/2017,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155848,72.0,4.0,35  HIGH PARK AVE ,3.0,,04,4.0,1969.0,2017.0
840,,3,34,,3.0,3.0,02/21/2019,3.0,3.0,3.0,5.0,,5.0,4.0,4.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4156002,70.0,4.0,1798  EGLINTON AVE W,3.0,,08,4.0,1937.0,2017.0
841,,3,23,,4.0,4.0,03/01/2019,3.0,,3.0,3.0,,5.0,4.0,4.0,3.0,14,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156014,73.0,4.0,1  GREENBROOK DR ,4.0,,05,3.0,1950.0,2018.0
842,3.0,12,141,4.0,3.0,4.0,10/19/2017,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,18,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156414,66.0,3.0,623  FINCH AVE W,3.0,,06,3.0,1983.0,2017.0
843,5.0,4,48,,4.0,4.0,03/13/2019,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,18,4.0,3.0,TCHC,Evaluation needs to be conducted in 3 years,4156735,81.0,5.0,155  NEPTUNE DR ,4.0,,08,4.0,1974.0,2017.0
844,4.0,9,325,4.0,4.0,4.0,12/21/2018,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4156740,82.0,5.0,10  ST DENNIS DR ,5.0,,16,4.0,1967.0,2017.0
845,,13,180,3.0,4.0,4.0,01/12/2018,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,17,3.0,,TCHC,Evaluation needs to be conducted in 2 years,4156748,66.0,4.0,501  ADELAIDE ST E,2.0,,13,4.0,2009.0,2017.0
846,4.0,4,35,,4.0,4.0,11/16/2017,4.0,4.0,2.0,3.0,,5.0,3.0,4.0,2.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152640,69.0,3.0,1631  VICTORIA PARK AVE ,3.0,,21,4.0,1958.0,2017.0
847,,4,32,,3.0,4.0,11/08/2017,4.0,4.0,4.0,4.0,,5.0,3.0,3.0,2.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153040,71.0,4.0,12  ELM GROVE AVE ,3.0,,04,4.0,1968.0,2017.0
848,,11,299,4.0,3.0,3.0,01/08/2018,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,18,3.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4153063,70.0,4.0,20  WEST LODGE AVE ,4.0,,04,3.0,1959.0,2017.0
849,4.0,4,15,,4.0,4.0,12/13/2018,3.0,3.0,2.0,3.0,,5.0,2.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153071,65.0,4.0,467  RONCESVALLES AVE ,3.0,,04,3.0,1920.0,2018.0
850,4.0,3,12,,4.0,3.0,03/04/2019,3.0,3.0,4.0,4.0,,4.0,2.0,2.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153074,63.0,4.0,1505  DUNDAS ST W,2.0,,09,3.0,1911.0,2017.0
851,3.0,9,79,3.0,4.0,4.0,11/06/2017,3.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153521,72.0,4.0,135  ISABELLA ST ,4.0,3.0,13,3.0,1960.0,2017.0
852,4.0,14,95,4.0,4.0,4.0,11/28/2017,3.0,3.0,4.0,4.0,,4.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153523,68.0,4.0,540  SHERBOURNE ST ,2.0,,13,3.0,1967.0,2017.0
853,4.0,20,116,4.0,4.0,4.0,12/21/2018,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153526,80.0,4.0,10  HUNTLEY ST ,4.0,4.0,13,4.0,1960.0,2017.0
854,4.0,13,76,3.0,4.0,2.0,11/20/2017,4.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153528,66.0,4.0,89  ISABELLA ST ,2.0,3.0,13,4.0,1959.0,2017.0
855,,3,35,,3.0,4.0,12/06/2017,3.0,2.0,3.0,3.0,,4.0,4.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153536,67.0,4.0,50  GLOUCESTER ST ,3.0,,13,3.0,1928.0,2019.0
856,,3,26,,4.0,4.0,11/06/2017,4.0,3.0,4.0,3.0,,5.0,3.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153547,73.0,4.0,44  HUNTLEY ST ,4.0,,13,4.0,1915.0,2017.0
857,4.0,25,561,4.0,4.0,4.0,12/21/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,4.0,,PRIVATE,Evaluation needs to be conducted in 3 years,4153548,81.0,4.0,77  HUNTLEY ST ,4.0,4.0,13,4.0,1973.0,2017.0
858,3.0,6,55,5.0,3.0,4.0,10/11/2017,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,20,4.0,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154046,76.0,4.0,7  GLENBURN AVE ,4.0,4.0,19,2.0,1968.0,2017.0
859,5.0,4,83,,3.0,4.0,12/05/2018,4.0,4.0,4.0,3.0,,5.0,3.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154064,75.0,4.0,1001  O'CONNOR DR ,4.0,3.0,19,4.0,1950.0,2017.0
860,4.0,6,78,4.0,4.0,5.0,10/16/2017,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154070,82.0,4.0,189  CEDARVALE AVE ,3.0,4.0,19,5.0,1950.0,2017.0
861,,3,36,,4.0,3.0,02/08/2019,4.0,4.0,4.0,5.0,,5.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154556,83.0,5.0,44  SARANAC BLVD ,4.0,4.0,08,4.0,1960.0,2017.0
862,,3,29,,3.0,3.0,10/12/2017,3.0,3.0,4.0,4.0,,5.0,4.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154565,68.0,4.0,568  LAWRENCE AVE W,3.0,,08,3.0,1954.0,2017.0
863,,3,18,,3.0,3.0,11/23/2017,4.0,3.0,2.0,4.0,,5.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154941,68.0,3.0,5  CLAXTON BLVD ,3.0,4.0,12,4.0,1937.0,2017.0
864,3.0,14,119,3.0,4.0,4.0,11/06/2017,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,20,4.0,1.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154955,68.0,4.0,1500  BATHURST ST ,3.0,4.0,12,3.0,1965.0,2017.0
865,,3,12,,3.0,3.0,11/13/2017,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,14,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154957,66.0,3.0,113  VAUGHAN RD ,4.0,,12,4.0,1947.0,2017.0
866,,4,40,,4.0,4.0,02/28/2019,5.0,4.0,4.0,3.0,,5.0,4.0,5.0,5.0,14,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154966,87.0,4.0,98  VAUGHAN RD ,5.0,,12,5.0,1963.0,2017.0
867,3.0,16,307,3.0,3.0,3.0,01/08/2018,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,20,3.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155469,68.0,3.0,340  ROYAL YORK RD ,4.0,3.0,03,3.0,1972.0,2017.0
868,3.0,8,132,4.0,3.0,3.0,10/16/2017,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155478,67.0,3.0,2335  LAKE SHORE BLVD W,4.0,3.0,03,3.0,1967.0,2017.0
869,4.0,4,36,,3.0,3.0,10/16/2017,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,5.0,16,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155479,66.0,3.0,2311  LAKE SHORE BLVD W,3.0,,03,4.0,1961.0,2017.0
870,4.0,5,47,4.0,3.0,3.0,11/27/2017,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155487,68.0,3.0,2  SUPERIOR AVE ,3.0,,03,4.0,1965.0,2017.0
871,,4,26,,3.0,3.0,11/13/2017,3.0,3.0,3.0,4.0,,5.0,3.0,4.0,3.0,14,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155495,66.0,3.0,2545  LAKE SHORE BLVD W,3.0,,03,4.0,1952.0,2017.0
872,3.0,17,228,4.0,3.0,4.0,11/28/2017,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155889,72.0,4.0,73  WIDDICOMBE HILL BLVD ,3.0,,02,3.0,1974.0,2017.0
873,,4,37,,4.0,4.0,12/13/2017,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,3.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156037,76.0,3.0,1535  BIRCHMOUNT RD ,4.0,,21,4.0,1960.0,2017.0
874,4.0,3,12,,4.0,4.0,03/20/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,17,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156416,78.0,4.0,109  GENERATION BLVD ,4.0,,25,4.0,1975.0,2017.0
875,3.0,4,201,4.0,3.0,4.0,12/20/2018,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,19,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156430,72.0,4.0,7  ARLETA AVE ,3.0,,07,3.0,1972.0,2017.0
876,,3,41,,3.0,3.0,10/26/2017,4.0,3.0,3.0,4.0,,5.0,3.0,4.0,4.0,16,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156443,73.0,3.0,25  FORTY THIRD ST ,4.0,,03,3.0,1953.0,2017.0
877,4.0,7,100,4.0,4.0,4.0,10/31/2017,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152649,74.0,4.0,1759  VICTORIA PARK AVE ,3.0,,21,4.0,1963.0,2017.0
878,4.0,8,90,4.0,5.0,5.0,10/16/2017,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,18,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4152659,84.0,5.0,1860  LAWRENCE AVE E,4.0,,21,4.0,1978.0,2017.0
879,,3,10,,3.0,4.0,12/11/2018,3.0,3.0,3.0,3.0,,5.0,4.0,2.0,4.0,15,,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4152666,65.0,4.0,115  FOXRIDGE DR ,3.0,,20,3.0,1958.0,
880,4.0,7,169,2.0,3.0,3.0,10/31/2017,2.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152685,66.0,4.0,2303  EGLINTON AVE E,3.0,,20,3.0,1968.0,2017.0
881,,4,35,,3.0,3.0,12/08/2017,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153078,67.0,4.0,301  LANSDOWNE AVE ,4.0,,09,4.0,1932.0,
882,,3,19,,,,03/27/2019,,,,,,,,,,0,,,PRIVATE,,4153104,,,1136  DUPONT ST ,,,09,,1975.0,
883,4.0,4,32,,4.0,4.0,02/01/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,16,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153556,80.0,4.0,5  HAHN PL ,4.0,,10,4.0,1980.0,2017.0
884,4.0,6,16,4.0,4.0,3.0,01/03/2018,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,18,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153568,77.0,4.0,205  PARLIAMENT ST ,3.0,,13,4.0,1992.0,2017.0
885,3.0,15,235,4.0,3.0,5.0,11/02/2017,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154078,72.0,4.0,75  EASTDALE AVE ,3.0,3.0,19,3.0,1974.0,2017.0
886,4.0,20,304,3.0,3.0,3.0,11/22/2017,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,19,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154081,72.0,4.0,1501  WOODBINE AVE ,4.0,,19,4.0,1968.0,2017.0
887,,8,44,3.0,4.0,3.0,12/20/2017,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,2.0,17,3.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154085,69.0,3.0,270  DONLANDS AVE ,3.0,,14,5.0,2012.0,2017.0
888,5.0,6,37,3.0,4.0,3.0,10/04/2017,4.0,3.0,4.0,3.0,,5.0,3.0,3.0,1.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154092,68.0,3.0,185  COSBURN AVE ,3.0,,14,3.0,1960.0,2017.0
889,4.0,4,33,,3.0,3.0,12/27/2018,3.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154097,61.0,4.0,210  COSBURN AVE ,3.0,3.0,14,3.0,1968.0,2017.0
890,4.0,6,40,5.0,5.0,5.0,10/04/2017,5.0,4.0,4.0,4.0,,5.0,2.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154099,86.0,4.0,246  COSBURN AVE ,4.0,4.0,14,5.0,1955.0,2017.0
891,4.0,4,30,4.0,4.0,4.0,03/01/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154592,81.0,4.0,3890  BATHURST ST ,4.0,3.0,06,5.0,1958.0,2017.0
892,4.0,4,28,,4.0,4.0,03/01/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154594,81.0,4.0,3886  BATHURST ST ,4.0,4.0,06,4.0,1960.0,2017.0
893,4.0,7,67,3.0,3.0,3.0,02/21/2019,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154603,64.0,3.0,4160  BATHURST ST ,3.0,3.0,06,4.0,1964.0,2017.0
894,4.0,3,39,,3.0,3.0,02/13/2019,4.0,3.0,3.0,3.0,,5.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154613,74.0,4.0,10  WILMINGTON AVE ,3.0,,06,4.0,1960.0,2017.0
895,4.0,11,85,4.0,4.0,4.0,02/08/2019,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154618,77.0,4.0,715  FINCH AVE W,4.0,3.0,06,3.0,1970.0,2017.0
896,3.0,4,27,,4.0,4.0,10/16/2017,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154969,68.0,4.0,142  VAUGHAN RD ,3.0,3.0,12,4.0,1960.0,2017.0
897,,4,29,,4.0,3.0,10/17/2017,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,15,,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154974,77.0,4.0,175  VAUGHAN RD ,3.0,,12,4.0,1929.0,2017.0
898,5.0,6,42,4.0,3.0,4.0,02/25/2019,4.0,4.0,4.0,2.0,,5.0,4.0,4.0,5.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154977,80.0,4.0,197  VAUGHAN RD ,4.0,,12,4.0,1955.0,2017.0
899,4.0,5,79,5.0,4.0,4.0,02/19/2019,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154986,79.0,4.0,236  VAUGHAN RD ,4.0,4.0,12,3.0,1952.0,2017.0
900,4.0,3,25,,4.0,4.0,11/01/2017,3.0,4.0,4.0,3.0,,5.0,3.0,4.0,2.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154997,69.0,4.0,1650  BATHURST ST ,3.0,2.0,12,4.0,1930.0,2017.0
901,,4,39,,4.0,3.0,03/07/2019,3.0,3.0,3.0,4.0,,5.0,2.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155003,66.0,5.0,1996  BATHURST ST ,3.0,3.0,12,3.0,1949.0,2017.0
902,,4,30,,4.0,4.0,03/07/2019,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155509,68.0,3.0,2704  LAKE SHORE BLVD W,3.0,,03,3.0,1960.0,2017.0
903,4.0,8,111,4.0,3.0,3.0,11/22/2017,4.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155511,69.0,3.0,2663  LAKE SHORE BLVD W,3.0,3.0,03,4.0,1953.0,2017.0
904,,3,11,,4.0,4.0,02/12/2019,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156048,74.0,4.0,24  PELL ST ,2.0,3.0,20,4.0,1960.0,2017.0
905,,3,25,,3.0,3.0,10/19/2017,3.0,4.0,4.0,3.0,,5.0,4.0,3.0,3.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156449,69.0,4.0,245 C  HOWLAND AVE ,3.0,,11,3.0,1920.0,2017.0
906,,3,12,,2.0,2.0,07/05/2019,3.0,3.0,2.0,2.0,,4.0,2.0,2.0,3.0,14,,,PRIVATE,Building Audit,4604174,49.0,2.0,160  FLOYD AVE ,2.0,2.0,14,3.0,,
907,,3,12,,4.0,3.0,01/23/2019,3.0,4.0,4.0,4.0,,4.0,2.0,3.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4479218,71.0,4.0,45  PEMBROKE ST ,3.0,,13,4.0,1951.0,2018.0
908,4.0,3,28,,4.0,4.0,03/11/2019,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,5.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4484430,85.0,5.0,39  TORRENS AVE ,4.0,4.0,14,4.0,1954.0,2019.0
909,,3,12,,4.0,4.0,02/15/2019,3.0,4.0,3.0,3.0,,5.0,4.0,4.0,4.0,16,,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4457092,78.0,4.0,1131  O'CONNOR DR ,4.0,4.0,19,3.0,1951.0,
910,3.0,3,17,,4.0,3.0,01/28/2019,2.0,3.0,3.0,4.0,,5.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4408652,66.0,5.0,69  BALDWIN ST ,3.0,,11,2.0,1927.0,2018.0
911,4.0,23,335,3.0,3.0,3.0,12/01/2017,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4265057,68.0,3.0,2575  DANFORTH AVE ,3.0,4.0,19,4.0,1970.0,2017.0
912,,3,16,,3.0,3.0,02/08/2019,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 1 year,4288175,60.0,2.0,2861-2863  DUNDAS ST W,2.0,,04,3.0,1960.0,2018.0
913,5.0,10,176,4.0,5.0,5.0,12/06/2017,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,19,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4288287,94.0,4.0,10  VENA WAY ,5.0,,07,5.0,2016.0,2018.0
914,3.0,4,25,3.0,4.0,4.0,03/01/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4253806,77.0,4.0,1  ROSEDALE RD ,3.0,,11,4.0,1956.0,2017.0
915,,3,18,,3.0,3.0,01/04/2019,3.0,3.0,2.0,4.0,,5.0,3.0,3.0,2.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4253819,66.0,5.0,841  MILLWOOD RD ,3.0,3.0,15,4.0,1960.0,2017.0
916,,4,15,,4.0,4.0,02/12/2018,3.0,4.0,4.0,4.0,,5.0,5.0,4.0,2.0,16,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4317592,76.0,3.0,3017 B  QUEEN ST E,4.0,,20,3.0,1954.0,2018.0
917,,3,40,3.0,4.0,4.0,01/02/2019,4.0,3.0,4.0,2.0,,5.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4275806,75.0,5.0,2  WYCOMBE RD ,3.0,,06,4.0,1960.0,2017.0
918,3.0,18,131,4.0,4.0,4.0,01/03/2019,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4221280,81.0,5.0,10  WALMER RD ,4.0,4.0,11,4.0,1965.0,2017.0
919,3.0,4,32,,3.0,3.0,03/07/2019,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4296588,70.0,4.0,701  EGLINTON AVE W,4.0,4.0,12,2.0,1950.0,2018.0
